"location","population","age_group","abbreviation","location_name"
"01",4149045,"0-64","AL","Alabama"
"02",609815,"0-64","AK","Alaska"
"04",5958632,"0-64","AZ","Arizona"
"05",2499522,"0-64","AR","Arkansas"
"06",32730804,"0-64","CA","California"
"08",4889710,"0-64","CO","Colorado"
"09",2957771,"0-64","CT","Connecticut"
"10",803028,"0-64","DE","Delaware"
"11",581316,"0-64","DC","District of Columbia"
"12",17389656,"0-64","FL","Florida"
"13",9210427,"0-64","GA","Georgia"
"15",1104612,"0-64","HI","Hawaii"
"16",1605069,"0-64","ID","Idaho"
"17",10399799,"0-64","IL","Illinois"
"18",5676263,"0-64","IN","Indiana"
"19",2614194,"0-64","IA","Iowa"
"20",2412434,"0-64","KS","Kansas"
"21",3701372,"0-64","KY","Kentucky"
"22",3795013,"0-64","LA","Louisiana"
"23",1072319,"0-64","ME","Maine"
"24",5088921,"0-64","MD","Maryland"
"25",5718124,"0-64","MA","Massachusetts"
"26",8151740,"0-64","MI","Michigan"
"27",4719016,"0-64","MN","Minnesota"
"28",2419765,"0-64","MS","Mississippi"
"29",5050182,"0-64","MO","Missouri"
"30",894437,"0-64","MT","Montana"
"31",1628449,"0-64","NE","Nebraska"
"32",2628535,"0-64","NV","Nevada"
"33",1113186,"0-64","NH","New Hampshire"
"34",7642370,"0-64","NJ","New Jersey"
"35",1696676,"0-64","NM","New Mexico"
"36",16093614,"0-64","NY","New York"
"37",8734683,"0-64","NC","North Carolina"
"38",642133,"0-64","ND","North Dakota"
"39",9587105,"0-64","OH","Ohio"
"40",3340371,"0-64","OK","Oklahoma"
"41",3422987,"0-64","OR","Oregon"
"42",10427350,"0-64","PA","Pennsylvania"
"44",883980,"0-64","RI","Rhode Island"
"45",4238030,"0-64","SC","South Carolina"
"46",742641,"0-64","SD","South Dakota"
"47",5809618,"0-64","TN","Tennessee"
"48",25887546,"0-64","TX","Texas"
"49",2971038,"0-64","UT","Utah"
"50",507459,"0-64","VT","Vermont"
"51",7118878,"0-64","VA","Virginia"
"53",6427274,"0-64","WA","Washington"
"54",1398878,"0-64","WV","West Virginia"
"55",4788903,"0-64","WI","Wisconsin"
"56",470524,"0-64","WY","Wyoming"
"US",274405214,"0-64","US","US"
"01",914733,"65-130","AL","Alabama"
