"date","value","location","source"
2024-11-23,295,"Arizona","AZ DHS"
2024-11-16,316,"Arizona","AZ DHS"
2024-11-09,295,"Arizona","AZ DHS"
2024-11-02,244,"Arizona","AZ DHS"
2024-10-26,217,"Arizona","AZ DHS"
2024-10-19,199,"Arizona","AZ DHS"
2024-10-12,217,"Arizona","AZ DHS"
2024-10-05,215,"Arizona","AZ DHS"
2024-09-28,242,"Arizona","AZ DHS"
2024-09-21,258,"Arizona","AZ DHS"
2024-09-14,257,"Arizona","AZ DHS"
2024-09-07,288,"Arizona","AZ DHS"
2024-08-31,365,"Arizona","AZ DHS"
2024-08-24,358,"Arizona","AZ DHS"
2024-08-17,366,"Arizona","AZ DHS"
2024-08-10,398,"Arizona","AZ DHS"
2024-08-03,355,"Arizona","AZ DHS"
2024-07-27,391,"Arizona","AZ DHS"
2024-07-20,351,"Arizona","AZ DHS"
2024-07-13,346,"Arizona","AZ DHS"
2024-07-06,338,"Arizona","AZ DHS"
2024-06-29,383,"Arizona","AZ DHS"
2024-06-22,357,"Arizona","AZ DHS"
2024-06-15,286,"Arizona","AZ DHS"
2024-06-08,260,"Arizona","AZ DHS"
2024-06-01,240,"Arizona","AZ DHS"
2024-05-25,209,"Arizona","AZ DHS"
2024-05-18,193,"Arizona","AZ DHS"
2024-05-11,138,"Arizona","AZ DHS"
2024-05-04,135,"Arizona","AZ DHS"
2024-04-27,112,"Arizona","AZ DHS"
2024-04-20,130,"Arizona","AZ DHS"
2024-04-13,153,"Arizona","AZ DHS"
2024-04-06,149,"Arizona","AZ DHS"
2024-03-30,142,"Arizona","AZ DHS"
2024-03-23,151,"Arizona","AZ DHS"
2024-03-16,182,"Arizona","AZ DHS"
2024-03-09,203,"Arizona","AZ DHS"
2024-03-02,248,"Arizona","AZ DHS"
2024-02-24,322,"Arizona","AZ DHS"
2024-02-17,296,"Arizona","AZ DHS"
2024-02-10,401,"Arizona","AZ DHS"
2024-02-03,460,"Arizona","AZ DHS"
2024-01-27,538,"Arizona","AZ DHS"
2024-01-20,548,"Arizona","AZ DHS"
2024-01-13,585,"Arizona","AZ DHS"
2024-01-06,723,"Arizona","AZ DHS"
2023-12-30,516,"Arizona","AZ DHS"
2023-12-23,664,"Arizona","AZ DHS"
2023-12-16,564,"Arizona","AZ DHS"
2023-12-09,549,"Arizona","AZ DHS"
2023-12-02,669,"Arizona","AZ DHS"
2023-11-25,630,"Arizona","AZ DHS"
2023-11-18,768,"Arizona","AZ DHS"
2023-11-11,695,"Arizona","AZ DHS"
2023-11-04,573,"Arizona","AZ DHS"
2023-10-28,575,"Arizona","AZ DHS"
2023-10-21,635,"Arizona","AZ DHS"
2023-10-14,500,"Arizona","AZ DHS"
2023-10-07,509,"Arizona","AZ DHS"
2023-09-30,454,"Arizona","AZ DHS"
2023-09-23,397,"Arizona","AZ DHS"
2023-09-16,400,"Arizona","AZ DHS"
2023-09-09,388,"Arizona","AZ DHS"
2023-09-02,366,"Arizona","AZ DHS"
2023-08-26,380,"Arizona","AZ DHS"
2023-08-19,362,"Arizona","AZ DHS"
2023-08-12,269,"Arizona","AZ DHS"
2023-08-05,251,"Arizona","AZ DHS"
2023-07-29,191,"Arizona","AZ DHS"
