Date-value,Date-alias,Measure Names-value,Measure Names-alias,Measure Values-value,Measure Values-alias
2023-10-07,10/7/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,245,245
2023-10-14,10/14/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,238,238
2023-10-21,10/21/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,254,254
2023-10-28,10/28/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,287,287
2023-11-04,11/4/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,317,317
2023-11-11,11/11/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,456,456
2023-11-18,11/18/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,472,472
2023-11-25,11/25/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,513,513
2023-12-02,12/2/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,611,611
2023-12-09,12/9/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,669,669
2023-12-16,12/16/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,706,706
2023-12-23,12/23/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,808,808
2023-12-30,12/30/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,1013,"1,013"
2024-01-06,1/6/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,932,932
2024-01-13,1/13/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,768,768
2024-01-20,1/20/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,611,611
2024-01-27,1/27/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,609,609
2024-02-03,2/3/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,490,490
2024-02-10,2/10/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,557,557
2024-02-17,2/17/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,513,513
2024-02-24,2/24/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,545,545
2024-03-02,3/2/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,548,548
2024-03-09,3/9/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,449,449
2024-03-16,3/16/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,303,303
2024-03-23,3/23/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,294,294
2024-03-30,3/30/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,264,264
2024-04-06,4/6/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,248,248
2024-04-13,4/13/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,195,195
2024-04-20,4/20/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,123,123
2024-04-27,4/27/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,117,117
2024-05-04,5/4/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,80,80
2024-05-11,5/11/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,86,86
2024-05-18,5/18/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,90,90
2024-05-25,5/25/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,71,71
2024-06-01,6/1/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,87,87
2024-06-08,6/8/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,91,91
2024-06-15,6/15/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,88,88
2024-06-22,6/22/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,78,78
2024-06-29,6/29/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,79,79
2024-07-06,7/6/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,105,105
2024-07-13,7/13/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,134,134
2024-07-20,7/20/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,163,163
2024-07-27,7/27/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,177,177
2024-08-03,8/3/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,218,218
2024-08-10,8/10/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,252,252
2024-08-17,8/17/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,273,273
2024-08-24,8/24/2024,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:n:qk],Combined,257,257
2023-10-07,10/7/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:Calculation_55732050471563272:qk],RSV,12,12
2023-10-14,10/14/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:Calculation_55732050471563272:qk],RSV,24,24
2023-10-21,10/21/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:Calculation_55732050471563272:qk],RSV,29,29
2023-10-28,10/28/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:Calculation_55732050471563272:qk],RSV,47,47
2023-11-04,11/4/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:Calculation_55732050471563272:qk],RSV,59,59
2023-11-11,11/11/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:Calculation_55732050471563272:qk],RSV,86,86
2023-11-18,11/18/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:Calculation_55732050471563272:qk],RSV,114,114
2023-11-25,11/25/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:Calculation_55732050471563272:qk],RSV,135,135
2023-12-02,12/2/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:Calculation_55732050471563272:qk],RSV,165,165
2023-12-09,12/9/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:Calculation_55732050471563272:qk],RSV,204,204
2023-12-16,12/16/2023,[federated.0790l9713fi2tb17t5fr91n56925 (copy)].[sum:Calculation_55732050471563272:qk],RSV,197,197
