Condition-alias,Week_Ending-value,Week_Ending-alias,SUM(Total)-alias,SUM(Count)-alias,AGG(Percentage)-value,AGG(Percentage)-alias
RSV,2024-10-05,10/5/2024,8558,6,0.0007010983874737088,0.0007010983874737088
RSV,2024-10-12,10/12/2024,8547,4,0.000468000468000468,0.000468000468000468
RSV,2024-10-19,10/19/2024,8752,8,0.0009140767824497258,0.0009140767824497258
RSV,2024-10-26,10/26/2024,8735,9,0.001030337721808815,0.001030337721808815
RSV,2024-11-02,11/2/2024,8601,11,0.0012789210556911988,0.0012789210556911988
RSV,2024-11-09,11/9/2024,8789,16,0.0018204573899192173,0.0018204573899192173
RSV,2024-11-16,11/16/2024,8784,29,0.003301457194899818,0.003301457194899818
RSV,2024-11-23,11/23/2024,8881,39,0.004391397365161581,0.004391397365161581
RSV,2024-11-30,11/30/2024,8067,44,0.005454320069418619,0.005454320069418619
RSV,2024-12-07,12/7/2024,9138,80,0.008754650908295032,0.008754650908295032
RSV,2024-12-14,12/14/2024,9123,88,0.009645949797215829,0.009645949797215829
RSV,2024-12-21,12/21/2024,9037,124,0.013721367710523404,0.013721367710523404
RSV,2024-12-28,12/28/2024,8472,125,0.01475448536355052,0.01475448536355052
RSV,2025-01-04,1/4/2025,9182,209,0.022761925506425616,0.022761925506425616
RSV,2025-01-11,1/11/2025,8339,128,0.015349562297637606,0.015349562297637606
RSV,2025-01-18,1/18/2025,8985,83,0.009237618252643295,0.009237618252643295
RSV,2025-01-25,1/25/2025,8713,64,0.0073453460346608514,0.0073453460346608514
RSV,2025-02-01,2/1/2025,9291,60,0.006457862447529867,0.006457862447529867
RSV,2025-02-08,2/8/2025,9598,70,0.007293186080433424,0.007293186080433424
RSV,2025-02-15,2/15/2025,9295,69,0.007423345884884347,0.007423345884884347
RSV,2025-02-22,2/22/2025,8927,36,0.004032709756917217,0.004032709756917217
RSV,2025-03-01,3/1/2025,9487,37,0.0039000737851797194,0.0039000737851797194
RSV,2025-03-08,3/8/2025,9179,28,0.003050441224534263,0.003050441224534263
RSV,2025-03-15,3/15/2025,9071,33,0.0036379671480542383,0.0036379671480542383
Influenza,2024-10-05,10/5/2024,8558,1,0.00011684973124561814,0.00011684973124561814
Influenza,2024-10-12,10/12/2024,8547,4,0.000468000468000468,0.000468000468000468
