"time_value","fips","geo_value_fullname","age_group","value"
2020-08-08,"01","Alabama","0-130",1749
2020-08-08,"02","Alaska","0-130",49
2020-08-08,"04","Arizona","0-130",1658
2020-08-08,"06","California","0-130",4836
2020-08-08,"09","Connecticut","0-130",101
2020-08-08,"11","District of Columbia","0-130",102
2020-08-08,"12","Florida","0-130",6733
2020-08-08,"15","Hawaii","0-130",218
2020-08-08,"16","Idaho","0-130",145
2020-08-08,"18","Indiana","0-130",407
2020-08-08,"19","Iowa","0-130",366
2020-08-08,"21","Kentucky","0-130",1090
2020-08-08,"22","Louisiana","0-130",1476
2020-08-08,"24","Maryland","0-130",387
2020-08-08,"25","Massachusetts","0-130",171
2020-08-08,"26","Michigan","0-130",242
2020-08-08,"27","Minnesota","0-130",138
2020-08-08,"28","Mississippi","0-130",766
2020-08-08,"32","Nevada","0-130",760
2020-08-08,"33","New Hampshire","0-130",12
2020-08-08,"35","New Mexico","0-130",77
2020-08-08,"37","North Carolina","0-130",1008
2020-08-08,"38","North Dakota","0-130",96
2020-08-08,"69","Northern Mariana Islands","0-130",0
2020-08-08,"41","Oregon","0-130",89
2020-08-08,"72","Puerto Rico","0-130",182
2020-08-08,"44","Rhode Island","0-130",47
2020-08-08,"45","South Carolina","0-130",943
2020-08-08,"47","Tennessee","0-130",1402
2020-08-08,"48","Texas","0-130",6571
2020-08-08,"US","US","0-130",39021
2020-08-08,"49","Utah","0-130",128
2020-08-08,"78","Virgin Islands","0-130",1
2020-08-08,"54","West Virginia","0-130",96
2020-08-08,"55","Wisconsin","0-130",673
2020-08-08,"56","Wyoming","0-130",117
2020-08-15,"01","Alabama","0-130",1795
2020-08-15,"02","Alaska","0-130",48
2020-08-15,"04","Arizona","0-130",1473
2020-08-15,"05","Arkansas","0-130",412
2020-08-15,"06","California","0-130",4273
2020-08-15,"08","Colorado","0-130",256
2020-08-15,"09","Connecticut","0-130",51
2020-08-15,"11","District of Columbia","0-130",104
2020-08-15,"12","Florida","0-130",5817
2020-08-15,"13","Georgia","0-130",1548
2020-08-15,"15","Hawaii","0-130",268
2020-08-15,"16","Idaho","0-130",124
2020-08-15,"17","Illinois","0-130",613
2020-08-15,"18","Indiana","0-130",397
2020-08-15,"19","Iowa","0-130",345
2020-08-15,"20","Kansas","0-130",167
2020-08-15,"21","Kentucky","0-130",1566
2020-08-15,"22","Louisiana","0-130",1342
2020-08-15,"23","Maine","0-130",6
2020-08-15,"24","Maryland","0-130",359
2020-08-15,"25","Massachusetts","0-130",142
2020-08-15,"26","Michigan","0-130",389
2020-08-15,"27","Minnesota","0-130",205
2020-08-15,"28","Mississippi","0-130",791
2020-08-15,"29","Missouri","0-130",515
2020-08-15,"30","Montana","0-130",94
2020-08-15,"31","Nebraska","0-130",130
2020-08-15,"32","Nevada","0-130",577
2020-08-15,"33","New Hampshire","0-130",10
2020-08-15,"34","New Jersey","0-130",177
2020-08-15,"35","New Mexico","0-130",59
2020-08-15,"36","New York","0-130",493
2020-08-15,"37","North Carolina","0-130",782
2020-08-15,"38","North Dakota","0-130",87
2020-08-15,"69","Northern Mariana Islands","0-130",0
2020-08-15,"39","Ohio","0-130",573
2020-08-15,"40","Oklahoma","0-130",465
2020-08-15,"41","Oregon","0-130",87
2020-08-15,"42","Pennsylvania","0-130",459
2020-08-15,"72","Puerto Rico","0-130",265
2020-08-15,"44","Rhode Island","0-130",58
2020-08-15,"45","South Carolina","0-130",645
2020-08-15,"46","South Dakota","0-130",93
2020-08-15,"47","Tennessee","0-130",1331
2020-08-15,"48","Texas","0-130",5840
2020-08-15,"US","US","0-130",36619
2020-08-15,"49","Utah","0-130",126
2020-08-15,"50","Vermont","0-130",5
2020-08-15,"78","Virgin Islands","0-130",1
2020-08-15,"51","Virginia","0-130",421
2020-08-15,"53","Washington","0-130",190
2020-08-15,"54","West Virginia","0-130",74
2020-08-15,"55","Wisconsin","0-130",485
2020-08-15,"56","Wyoming","0-130",48
2020-08-22,"01","Alabama","0-130",1911
2020-08-22,"02","Alaska","0-130",63
2020-08-22,"04","Arizona","0-130",1292
2020-08-22,"05","Arkansas","0-130",425
2020-08-22,"06","California","0-130",3498
2020-08-22,"08","Colorado","0-130",147
2020-08-22,"09","Connecticut","0-130",77
2020-08-22,"11","District of Columbia","0-130",89
2020-08-22,"12","Florida","0-130",5040
2020-08-22,"13","Georgia","0-130",2427
2020-08-22,"15","Hawaii","0-130",918
2020-08-22,"16","Idaho","0-130",147
2020-08-22,"17","Illinois","0-130",737
2020-08-22,"18","Indiana","0-130",527
2020-08-22,"19","Iowa","0-130",329
2020-08-22,"20","Kansas","0-130",186
2020-08-22,"21","Kentucky","0-130",1307
2020-08-22,"22","Louisiana","0-130",1121
2020-08-22,"23","Maine","0-130",10
2020-08-22,"24","Maryland","0-130",352
2020-08-22,"25","Massachusetts","0-130",132
2020-08-22,"26","Michigan","0-130",378
2020-08-22,"27","Minnesota","0-130",228
2020-08-22,"28","Mississippi","0-130",611
2020-08-22,"29","Missouri","0-130",654
2020-08-22,"30","Montana","0-130",95
2020-08-22,"31","Nebraska","0-130",146
2020-08-22,"32","Nevada","0-130",578
2020-08-22,"33","New Hampshire","0-130",179
2020-08-22,"34","New Jersey","0-130",260
2020-08-22,"35","New Mexico","0-130",102
2020-08-22,"36","New York","0-130",848
2020-08-22,"37","North Carolina","0-130",1150
2020-08-22,"38","North Dakota","0-130",71
2020-08-22,"69","Northern Mariana Islands","0-130",0
2020-08-22,"39","Ohio","0-130",634
2020-08-22,"40","Oklahoma","0-130",549
2020-08-22,"41","Oregon","0-130",109
2020-08-22,"42","Pennsylvania","0-130",411
2020-08-22,"72","Puerto Rico","0-130",263
2020-08-22,"44","Rhode Island","0-130",42
2020-08-22,"45","South Carolina","0-130",631
2020-08-22,"46","South Dakota","0-130",95
2020-08-22,"47","Tennessee","0-130",1216
2020-08-22,"48","Texas","0-130",5549
2020-08-22,"US","US","0-130",36862
2020-08-22,"49","Utah","0-130",89
2020-08-22,"50","Vermont","0-130",6
2020-08-22,"78","Virgin Islands","0-130",17
2020-08-22,"51","Virginia","0-130",413
2020-08-22,"53","Washington","0-130",165
2020-08-22,"54","West Virginia","0-130",93
2020-08-22,"55","Wisconsin","0-130",447
2020-08-22,"56","Wyoming","0-130",35
2020-08-29,"01","Alabama","0-130",1707
2020-08-29,"02","Alaska","0-130",56
2020-08-29,"04","Arizona","0-130",700
2020-08-29,"05","Arkansas","0-130",342
2020-08-29,"06","California","0-130",3100
2020-08-29,"08","Colorado","0-130",137
2020-08-29,"09","Connecticut","0-130",62
2020-08-29,"11","District of Columbia","0-130",69
2020-08-29,"12","Florida","0-130",4269
2020-08-29,"13","Georgia","0-130",1458
2020-08-29,"15","Hawaii","0-130",2137
2020-08-29,"16","Idaho","0-130",107
2020-08-29,"17","Illinois","0-130",778
2020-08-29,"18","Indiana","0-130",533
2020-08-29,"19","Iowa","0-130",359
2020-08-29,"20","Kansas","0-130",214
2020-08-29,"21","Kentucky","0-130",1776
2020-08-29,"22","Louisiana","0-130",883
2020-08-29,"23","Maine","0-130",9
2020-08-29,"24","Maryland","0-130",316
2020-08-29,"25","Massachusetts","0-130",172
2020-08-29,"26","Michigan","0-130",358
2020-08-29,"27","Minnesota","0-130",263
2020-08-29,"28","Mississippi","0-130",595
2020-08-29,"29","Missouri","0-130",679
2020-08-29,"30","Montana","0-130",104
2020-08-29,"31","Nebraska","0-130",163
2020-08-29,"32","Nevada","0-130",483
2020-08-29,"33","New Hampshire","0-130",209
2020-08-29,"34","New Jersey","0-130",302
2020-08-29,"35","New Mexico","0-130",155
2020-08-29,"36","New York","0-130",485
2020-08-29,"37","North Carolina","0-130",2055
2020-08-29,"38","North Dakota","0-130",92
2020-08-29,"69","Northern Mariana Islands","0-130",0
2020-08-29,"39","Ohio","0-130",647
2020-08-29,"40","Oklahoma","0-130",590
2020-08-29,"41","Oregon","0-130",60
2020-08-29,"42","Pennsylvania","0-130",460
2020-08-29,"72","Puerto Rico","0-130",259
2020-08-29,"44","Rhode Island","0-130",27
2020-08-29,"45","South Carolina","0-130",613
2020-08-29,"46","South Dakota","0-130",117
2020-08-29,"47","Tennessee","0-130",1124
2020-08-29,"48","Texas","0-130",5080
2020-08-29,"US","US","0-130",35464
2020-08-29,"49","Utah","0-130",126
2020-08-29,"50","Vermont","0-130",6
2020-08-29,"78","Virgin Islands","0-130",9
2020-08-29,"51","Virginia","0-130",396
2020-08-29,"53","Washington","0-130",143
2020-08-29,"54","West Virginia","0-130",114
2020-08-29,"55","Wisconsin","0-130",430
2020-08-29,"56","Wyoming","0-130",36
2020-09-05,"01","Alabama","0-130",1222
2020-09-05,"02","Alaska","0-130",61
2020-09-05,"04","Arizona","0-130",1008
2020-09-05,"05","Arkansas","0-130",328
2020-09-05,"06","California","0-130",2888
2020-09-05,"08","Colorado","0-130",137
2020-09-05,"09","Connecticut","0-130",78
2020-09-05,"11","District of Columbia","0-130",81
2020-09-05,"12","Florida","0-130",3526
2020-09-05,"13","Georgia","0-130",1548
2020-09-05,"66","Guam","0-130",46
2020-09-05,"15","Hawaii","0-130",1996
2020-09-05,"16","Idaho","0-130",104
2020-09-05,"17","Illinois","0-130",804
2020-09-05,"18","Indiana","0-130",444
2020-09-05,"19","Iowa","0-130",378
2020-09-05,"20","Kansas","0-130",264
2020-09-05,"21","Kentucky","0-130",1495
2020-09-05,"22","Louisiana","0-130",820
2020-09-05,"23","Maine","0-130",6
2020-09-05,"24","Maryland","0-130",304
2020-09-05,"25","Massachusetts","0-130",169
2020-09-05,"26","Michigan","0-130",330
2020-09-05,"27","Minnesota","0-130",265
2020-09-05,"28","Mississippi","0-130",554
2020-09-05,"29","Missouri","0-130",632
2020-09-05,"30","Montana","0-130",125
2020-09-05,"31","Nebraska","0-130",166
2020-09-05,"32","Nevada","0-130",478
2020-09-05,"33","New Hampshire","0-130",153
2020-09-05,"34","New Jersey","0-130",290
2020-09-05,"35","New Mexico","0-130",47
2020-09-05,"36","New York","0-130",480
2020-09-05,"37","North Carolina","0-130",1762
2020-09-05,"38","North Dakota","0-130",85
2020-09-05,"69","Northern Mariana Islands","0-130",0
2020-09-05,"39","Ohio","0-130",670
2020-09-05,"40","Oklahoma","0-130",511
2020-09-05,"41","Oregon","0-130",55
2020-09-05,"42","Pennsylvania","0-130",382
2020-09-05,"72","Puerto Rico","0-130",319
2020-09-05,"44","Rhode Island","0-130",24
2020-09-05,"45","South Carolina","0-130",487
2020-09-05,"46","South Dakota","0-130",115
2020-09-05,"47","Tennessee","0-130",1191
2020-09-05,"48","Texas","0-130",4590
2020-09-05,"US","US","0-130",32832
2020-09-05,"49","Utah","0-130",139
2020-09-05,"50","Vermont","0-130",5
2020-09-05,"78","Virgin Islands","0-130",5
2020-09-05,"51","Virginia","0-130",465
2020-09-05,"53","Washington","0-130",192
2020-09-05,"54","West Virginia","0-130",96
2020-09-05,"55","Wisconsin","0-130",404
2020-09-05,"56","Wyoming","0-130",42
2020-09-12,"01","Alabama","0-130",1069
2020-09-12,"02","Alaska","0-130",56
2020-09-12,"04","Arizona","0-130",537
2020-09-12,"05","Arkansas","0-130",327
2020-09-12,"06","California","0-130",2572
2020-09-12,"08","Colorado","0-130",118
2020-09-12,"09","Connecticut","0-130",62
2020-09-12,"11","District of Columbia","0-130",89
2020-09-12,"12","Florida","0-130",2922
2020-09-12,"13","Georgia","0-130",1266
2020-09-12,"66","Guam","0-130",38
2020-09-12,"15","Hawaii","0-130",1781
2020-09-12,"16","Idaho","0-130",95
2020-09-12,"17","Illinois","0-130",732
2020-09-12,"18","Indiana","0-130",923
2020-09-12,"19","Iowa","0-130",357
2020-09-12,"20","Kansas","0-130",254
2020-09-12,"21","Kentucky","0-130",2101
2020-09-12,"22","Louisiana","0-130",809
2020-09-12,"23","Maine","0-130",7
2020-09-12,"24","Maryland","0-130",295
2020-09-12,"25","Massachusetts","0-130",178
2020-09-12,"26","Michigan","0-130",321
2020-09-12,"27","Minnesota","0-130",235
2020-09-12,"28","Mississippi","0-130",481
2020-09-12,"29","Missouri","0-130",642
2020-09-12,"30","Montana","0-130",132
2020-09-12,"31","Nebraska","0-130",175
2020-09-12,"32","Nevada","0-130",398
2020-09-12,"33","New Hampshire","0-130",7
2020-09-12,"34","New Jersey","0-130",244
2020-09-12,"35","New Mexico","0-130",42
2020-09-12,"36","New York","0-130",574
2020-09-12,"37","North Carolina","0-130",941
2020-09-12,"38","North Dakota","0-130",93
2020-09-12,"69","Northern Mariana Islands","0-130",0
2020-09-12,"39","Ohio","0-130",592
2020-09-12,"40","Oklahoma","0-130",503
2020-09-12,"41","Oregon","0-130",54
2020-09-12,"42","Pennsylvania","0-130",356
2020-09-12,"72","Puerto Rico","0-130",269
2020-09-12,"44","Rhode Island","0-130",27
2020-09-12,"45","South Carolina","0-130",493
2020-09-12,"46","South Dakota","0-130",133
2020-09-12,"47","Tennessee","0-130",1082
2020-09-12,"48","Texas","0-130",3998
2020-09-12,"US","US","0-130",29780
2020-09-12,"49","Utah","0-130",116
2020-09-12,"50","Vermont","0-130",7
2020-09-12,"78","Virgin Islands","0-130",1
2020-09-12,"51","Virginia","0-130",428
2020-09-12,"53","Washington","0-130",156
2020-09-12,"54","West Virginia","0-130",90
2020-09-12,"55","Wisconsin","0-130",503
2020-09-12,"56","Wyoming","0-130",48
2020-09-19,"01","Alabama","0-130",888
2020-09-19,"02","Alaska","0-130",67
2020-09-19,"04","Arizona","0-130",657
2020-09-19,"05","Arkansas","0-130",369
2020-09-19,"06","California","0-130",2253
2020-09-19,"08","Colorado","0-130",145
2020-09-19,"09","Connecticut","0-130",92
2020-09-19,"11","District of Columbia","0-130",56
2020-09-19,"12","Florida","0-130",2441
2020-09-19,"13","Georgia","0-130",1222
2020-09-19,"66","Guam","0-130",24
2020-09-19,"15","Hawaii","0-130",1522
2020-09-19,"16","Idaho","0-130",84
2020-09-19,"17","Illinois","0-130",778
2020-09-19,"18","Indiana","0-130",423
2020-09-19,"19","Iowa","0-130",372
2020-09-19,"20","Kansas","0-130",239
2020-09-19,"21","Kentucky","0-130",1159
2020-09-19,"22","Louisiana","0-130",770
2020-09-19,"23","Maine","0-130",9
2020-09-19,"24","Maryland","0-130",306
2020-09-19,"25","Massachusetts","0-130",195
2020-09-19,"26","Michigan","0-130",285
2020-09-19,"27","Minnesota","0-130",248
2020-09-19,"28","Mississippi","0-130",447
2020-09-19,"29","Missouri","0-130",743
2020-09-19,"30","Montana","0-130",122
2020-09-19,"31","Nebraska","0-130",224
2020-09-19,"32","Nevada","0-130",337
2020-09-19,"33","New Hampshire","0-130",7
2020-09-19,"34","New Jersey","0-130",245
2020-09-19,"35","New Mexico","0-130",74
2020-09-19,"36","New York","0-130",580
2020-09-19,"37","North Carolina","0-130",901
2020-09-19,"38","North Dakota","0-130",142
2020-09-19,"69","Northern Mariana Islands","0-130",0
2020-09-19,"39","Ohio","0-130",591
2020-09-19,"40","Oklahoma","0-130",614
2020-09-19,"41","Oregon","0-130",80
2020-09-19,"42","Pennsylvania","0-130",315
2020-09-19,"72","Puerto Rico","0-130",274
2020-09-19,"44","Rhode Island","0-130",22
2020-09-19,"45","South Carolina","0-130",443
2020-09-19,"46","South Dakota","0-130",211
2020-09-19,"47","Tennessee","0-130",1089
2020-09-19,"48","Texas","0-130",4104
2020-09-19,"US","US","0-130",27744
2020-09-19,"49","Utah","0-130",156
2020-09-19,"50","Vermont","0-130",6
2020-09-19,"78","Virgin Islands","0-130",0
2020-09-19,"51","Virginia","0-130",429
2020-09-19,"53","Washington","0-130",202
2020-09-19,"54","West Virginia","0-130",119
2020-09-19,"55","Wisconsin","0-130",592
2020-09-19,"56","Wyoming","0-130",38
2020-09-26,"01","Alabama","0-130",908
2020-09-26,"02","Alaska","0-130",46
2020-09-26,"04","Arizona","0-130",788
2020-09-26,"05","Arkansas","0-130",456
2020-09-26,"06","California","0-130",2191
2020-09-26,"08","Colorado","0-130",207
2020-09-26,"09","Connecticut","0-130",69
2020-09-26,"11","District of Columbia","0-130",81
2020-09-26,"12","Florida","0-130",2099
2020-09-26,"13","Georgia","0-130",1104
2020-09-26,"66","Guam","0-130",21
2020-09-26,"15","Hawaii","0-130",1204
2020-09-26,"16","Idaho","0-130",138
2020-09-26,"17","Illinois","0-130",765
2020-09-26,"18","Indiana","0-130",471
2020-09-26,"19","Iowa","0-130",489
2020-09-26,"20","Kansas","0-130",250
2020-09-26,"21","Kentucky","0-130",1059
2020-09-26,"22","Louisiana","0-130",689
2020-09-26,"23","Maine","0-130",4
2020-09-26,"24","Maryland","0-130",310
2020-09-26,"25","Massachusetts","0-130",250
2020-09-26,"26","Michigan","0-130",295
2020-09-26,"27","Minnesota","0-130",350
2020-09-26,"28","Mississippi","0-130",395
2020-09-26,"29","Missouri","0-130",810
2020-09-26,"30","Montana","0-130",215
2020-09-26,"31","Nebraska","0-130",244
2020-09-26,"32","Nevada","0-130",399
2020-09-26,"33","New Hampshire","0-130",19
2020-09-26,"34","New Jersey","0-130",291
2020-09-26,"35","New Mexico","0-130",107
2020-09-26,"36","New York","0-130",659
2020-09-26,"37","North Carolina","0-130",888
2020-09-26,"38","North Dakota","0-130",175
2020-09-26,"69","Northern Mariana Islands","0-130",0
2020-09-26,"39","Ohio","0-130",586
2020-09-26,"40","Oklahoma","0-130",742
2020-09-26,"41","Oregon","0-130",104
2020-09-26,"42","Pennsylvania","0-130",372
2020-09-26,"72","Puerto Rico","0-130",218
2020-09-26,"44","Rhode Island","0-130",40
