Report Date,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
2020-09-01 00:00:00,Probable,5321,66,133
2020-09-01 00:00:00,Confirmed,116294,9555,2479
2020-09-02 00:00:00,Probable,5401,68,133
2020-09-02 00:00:00,Confirmed,117141,9610,2508
2020-09-03 00:00:00,Probable,5478,68,133
2020-09-03 00:00:00,Confirmed,118190,9673,2519
2020-09-04 00:00:00,Probable,5520,68,133
2020-09-04 00:00:00,Confirmed,119259,9730,2529
2020-09-05 00:00:00,Probable,5536,68,133
2020-09-05 00:00:00,Confirmed,120191,9781,2544
2020-09-06 00:00:00,Probable,5609,69,133
2020-09-06 00:00:00,Confirmed,121317,9812,2545
2020-09-07 00:00:00,Probable,5652,69,133
2020-09-07 00:00:00,Confirmed,121919,9833,2551
2020-09-08 00:00:00,Probable,5696,69,133
2020-09-08 00:00:00,Confirmed,122711,9863,2553
2020-09-09 00:00:00,Probable,5801,70,133
2020-09-09 00:00:00,Confirmed,123488,9938,2564
2020-09-10 00:00:00,Probable,5906,70,133
2020-09-10 00:00:00,Confirmed,124619,10015,2575
2020-09-11 00:00:00,Probable,5937,70,133
2020-09-11 00:00:00,Confirmed,125703,10085,2578
2020-09-12 00:00:00,Probable,6090,69,133
2020-09-12 00:00:00,Confirmed,126850,10149,2589
2020-09-13 00:00:00,Probable,6142,69,133
2020-09-13 00:00:00,Confirmed,127672,10175,2591
2020-09-14 00:00:00,Probable,6171,70,136
2020-09-14 00:00:00,Confirmed,128400,10223,2607
2020-09-15 00:00:00,Probable,6255,70,148
2020-09-15 00:00:00,Confirmed,129259,10267,2691
2020-09-16 00:00:00,Probable,6396,71,173
2020-09-16 00:00:00,Confirmed,129963,10318,2711
2020-09-17 00:00:00,Probable,6500,71,186
2020-09-17 00:00:00,Confirmed,130960,10393,2734
2020-09-18 00:00:00,Probable,6612,75,194
2020-09-18 00:00:00,Confirmed,132090,10445,2755
2020-09-19 00:00:00,Probable,6689,78,203
2020-09-19 00:00:00,Confirmed,132966,10484,2787
2020-09-20 00:00:00,Probable,6789,81,204
2020-09-20 00:00:00,Confirmed,133722,10510,2811
2020-09-21 00:00:00,Probable,6837,82,205
2020-09-21 00:00:00,Confirmed,134301,10531,2816
2020-09-22 00:00:00,Probable,6909,83,207
2020-09-22 00:00:00,Confirmed,135101,10592,2853
2020-09-23 00:00:00,Probable,6964,84,207
2020-09-23 00:00:00,Confirmed,135626,10634,2882
