Date Range Start,Date Range End,COVID19 7 day Avg Hospitalized,COVID19 7 day AVG in ICU bed,Influenza 7 day Avg Hospitalized,Influenza 7 day AVG in ICU bed
2020-09-27,2020-10-03,259,66,NA,NA
2020-10-04,2020-10-10,249,59,NA,NA
2020-10-11,2020-10-17,275,73,NA,NA
2020-10-18,2020-10-24,303,90,NA,NA
2020-10-25,2020-10-31,341,98,NA,NA
2020-11-01,2020-11-07,395,115,NA,NA
2020-11-08,2020-11-14,526,133,NA,NA
2020-11-15,2020-11-21,685,173,NA,NA
2020-11-22,2020-11-28,844,207,NA,NA
2020-11-29,2020-12-05,949,259,NA,NA
2020-12-06,2020-12-12,1009,256,NA,NA
2020-12-13,2020-12-19,1039,243,NA,NA
2020-12-20,2020-12-26,1023,232,NA,NA
2020-12-27,2021-01-02,1043,238,NA,NA
2021-01-03,2021-01-09,1014,236,NA,NA
2021-01-10,2021-01-16,948,215,NA,NA
2021-01-17,2021-01-23,821,208,NA,NA
2021-01-24,2021-01-30,744,183,NA,NA
2021-01-31,2021-02-06,676,172,NA,NA
2021-02-07,2021-02-13,571,137,NA,NA
2021-02-14,2021-02-20,526,119,NA,NA
2021-02-21,2021-02-27,448,119,NA,NA
2021-02-28,2021-03-06,370,101,NA,NA
2021-03-07,2021-03-13,315,89,NA,NA
2021-03-14,2021-03-20,330,93,NA,NA
2021-03-21,2021-03-27,338,101,NA,NA
2021-03-28,2021-04-03,365,113,NA,NA
2021-04-04,2021-04-10,385,109,NA,NA
2021-04-11,2021-04-17,433,115,NA,NA
2021-04-18,2021-04-24,519,142,NA,NA
2021-04-25,2021-05-01,611,162,NA,NA
2021-05-02,2021-05-08,592,168,NA,NA
2021-05-09,2021-05-15,579,165,NA,NA
2021-05-16,2021-05-22,552,159,NA,NA
2021-05-23,2021-05-29,497,148,NA,NA
2021-05-30,2021-06-05,449,141,NA,NA
2021-06-06,2021-06-12,422,119,NA,NA
2021-06-13,2021-06-19,327,98,NA,NA
2021-06-20,2021-06-26,297,101,NA,NA
2021-06-27,2021-07-03,284,91,NA,NA
2021-07-04,2021-07-10,272,80,NA,NA
2021-07-11,2021-07-17,298,88,NA,NA
2021-07-18,2021-07-24,338,110,NA,NA
2021-07-25,2021-07-31,455,136,NA,NA
2021-08-01,2021-08-07,660,196,NA,NA
2021-08-08,2021-08-14,921,258,NA,NA
2021-08-15,2021-08-21,1213,334,NA,NA
2021-08-22,2021-08-28,1452,400,NA,NA
2021-08-29,2021-09-04,1606,432,0,0
2021-09-05,2021-09-11,1663,432,0,0
2021-09-12,2021-09-18,1577,434,0,0
2021-09-19,2021-09-25,1396,372,0,0
2021-09-26,2021-10-02,1218,335,0,0
2021-10-03,2021-10-09,1124,324,0,0
2021-10-10,2021-10-16,1066,287,0,0
2021-10-17,2021-10-23,1003,271,0,0
2021-10-24,2021-10-30,997,274,0,0
2021-10-31,2021-11-06,937,278,0,0
2021-11-07,2021-11-13,875,227,0,0
2021-11-14,2021-11-20,795,210,0,0
2021-11-21,2021-11-27,681,194,0,0
2021-11-28,2021-12-04,652,189,0,0
2021-12-05,2021-12-11,642,184,0,0
2021-12-12,2021-12-18,590,163,0,0
2021-12-19,2021-12-25,604,160,0,0
2021-12-26,2022-01-01,790,179,0,0
2022-01-02,2022-01-08,1359,261,0,0
2022-01-09,2022-01-15,1943,325,0,0
2022-01-16,2022-01-22,2191,362,<10,0
2022-01-23,2022-01-29,2058,361,<10,0
2022-01-30,2022-02-05,1820,327,<10,0
2022-02-06,2022-02-12,1564,262,18,0
2022-02-13,2022-02-19,1176,181,22,<10
2022-02-20,2022-02-26,881,142,18,<10
2022-02-27,2022-03-05,672,106,19,<10
2022-03-06,2022-03-12,498,73,14,<10
2022-03-13,2022-03-19,364,56,13,0
2022-03-20,2022-03-26,280,37,21,0
2022-03-27,2022-04-02,212,26,20,<10
2022-04-03,2022-04-09,192,26,21,<10
2022-04-10,2022-04-16,191,26,25,<10
2022-04-17,2022-04-23,234,22,24,<10
2022-04-24,2022-04-30,275,27,34,<10
2022-05-01,2022-05-07,326,35,56,<10
2022-05-08,2022-05-14,369,35,60,<10
2022-05-15,2022-05-21,465,52,61,<10
2022-05-22,2022-05-28,504,57,71,<10
2022-05-29,2022-06-04,578,64,64,<10
2022-06-05,2022-06-11,567,59,53,<10
2022-06-12,2022-06-18,597,59,47,<10
2022-06-19,2022-06-25,649,67,61,<10
2022-06-26,2022-07-02,724,71,63,<10
2022-07-03,2022-07-09,733,72,49,<10
2022-07-10,2022-07-16,742,71,46,<10
2022-07-17,2022-07-23,792,82,34,<10
2022-07-24,2022-07-30,741,81,16,<10
2022-07-31,2022-08-06,701,79,<10,<10
2022-08-07,2022-08-13,640,60,13,<10
2022-08-14,2022-08-20,585,52,10,<10
2022-08-21,2022-08-27,524,54,<10,0
2022-08-28,2022-09-03,510,59,<10,<10
2022-09-04,2022-09-10,444,54,<10,0
2022-09-11,2022-09-17,401,42,10,<10
2022-09-18,2022-09-24,441,50,<10,0
2022-09-25,2022-10-01,450,63,<10,0
2022-10-02,2022-10-08,408,47,<10,0
2022-10-09,2022-10-15,386,43,10,0
2022-10-16,2022-10-22,319,45,12,<10
2022-10-23,2022-10-29,314,39,20,<10
2022-10-30,2022-11-05,327,42,28,<10
2022-11-06,2022-11-12,337,37,55,<10
2022-11-13,2022-11-19,329,43,124,<10
2022-11-20,2022-11-26,405,46,273,25
2022-11-27,2022-12-03,483,52,449,50
2022-12-04,2022-12-10,530,49,446,53
2022-12-11,2022-12-17,504,46,431,49
2022-12-18,2022-12-24,556,50,366,48
2022-12-25,2022-12-31,588,60,364,50
2023-01-01,2023-01-07,577,43,281,41
2023-01-08,2023-01-14,511,48,188,24
2023-01-15,2023-01-21,421,44,108,15
2023-01-22,2023-01-28,413,38,77,11
2023-01-29,2023-02-04,409,40,61,<10
2023-02-05,2023-02-11,419,38,58,<10
2023-02-12,2023-02-18,473,50,40,<10
2023-02-19,2023-02-25,444,46,38,<10
2023-02-26,2023-03-04,412,34,44,<10
2023-03-05,2023-03-11,398,41,40,<10
2023-03-12,2023-03-18,367,40,27,<10
2023-03-19,2023-03-25,385,43,29,<10
2023-03-26,2023-04-01,348,40,27,0
2023-04-02,2023-04-08,327,35,21,0
2023-04-09,2023-04-15,297,30,24,0
2023-04-16,2023-04-22,277,29,17,0
2023-04-23,2023-04-29,264,28,14,0
2023-04-30,2023-05-06,238,33,17,0
2023-05-07,2023-05-13,218,25,13,0
2023-05-14,2023-05-20,190,15,13,<10
2023-05-21,2023-05-27,151,15,14,<10
2023-05-28,2023-06-03,152,16,18,<10
2023-06-04,2023-06-10,154,20,18,0
2023-06-11,2023-06-17,154,20,15,0
2023-06-18,2023-06-24,147,22,16,<10
2023-06-25,2023-07-01,149,17,18,<10
2023-07-02,2023-07-08,152,17,19,<10
2023-07-09,2023-07-15,150,20,18,<10
2023-07-16,2023-07-22,145,16,13,<10
2023-07-23,2023-07-29,156,15,15,<10
2023-07-30,2023-08-05,183,20,17,0
2023-08-06,2023-08-12,226,25,17,0
2023-08-13,2023-08-19,245,33,18,0
2023-08-20,2023-08-26,258,26,12,0
2023-08-27,2023-09-02,309,33,22,<10
2023-09-03,2023-09-09,345,31,27,<10
2023-09-10,2023-09-16,330,31,19,<10
2023-09-17,2023-09-23,354,36,10,<10
2023-09-24,2023-09-30,350,37,<10,<10
2023-10-01,2023-10-07,342,38,<10,<10
2023-10-08,2023-10-14,343,34,<10,<10
2023-10-15,2023-10-21,300,25,<10,<10
2023-10-22,2023-10-28,254,26,<10,0
2023-10-29,2023-11-04,245,21,14,<10
2023-11-05,2023-11-11,239,20,23,<10
2023-11-12,2023-11-18,234,27,26,<10
2023-11-19,2023-11-25,215,24,31,<10
2023-11-26,2023-12-02,222,19,49,<10
2023-12-03,2023-12-09,253,21,67,13
2023-12-10,2023-12-16,285,28,87,11
2023-12-17,2023-12-23,296,32,121,11
2023-12-24,2023-12-30,353,37,153,11
2023-12-31,2024-01-06,419,43,175,22
2024-01-07,2024-01-13,430,38,163,22
2024-01-14,2024-01-20,381,31,129,19
2024-01-21,2024-01-27,389,37,115,17
2024-01-28,2024-02-03,356,36,97,14
2024-02-04,2024-02-10,348,35,80,10
2024-02-11,2024-02-17,311,32,74,11
2024-02-18,2024-02-24,267,25,83,17
2024-02-25,2024-03-02,253,24,78,13
2024-03-03,2024-03-09,213,20,71,12
2024-03-10,2024-03-16,172,13,72,<10
2024-03-17,2024-03-23,160,13,69,<10
2024-03-24,2024-03-30,147,16,49,<10
2024-03-31,2024-04-06,120,11,40,<10
2024-04-07,2024-04-13,108,<10,33,<10
2024-04-14,2024-04-20,97,<10,29,<10
2024-04-21,2024-04-27,83,10,28,<10
2024-04-28,2024-05-04,83,<10,29,<10
2024-05-05,2024-05-11,95,<10,26,<10
2024-05-12,2024-05-18,90,<10,17,<10
2024-05-19,2024-05-25,98,12,15,<10
2024-05-26,2024-06-01,113,10,19,<10
2024-06-02,2024-06-08,138,16,20,0
2024-06-09,2024-06-15,177,18,16,<10
2024-06-16,2024-06-22,229,15,21,<10
2024-06-23,2024-06-29,253,18,20,<10
2024-06-30,2024-07-06,247,21,17,<10
2024-07-07,2024-07-13,247,22,13,<10
2024-07-14,2024-07-20,261,17,<10,<10
2024-07-21,2024-07-27,259,17,<10,<10
2024-07-28,2024-08-03,256,18,<10,<10
2024-08-04,2024-08-10,268,20,<10,0
2024-08-11,2024-08-17,279,26,<10,0
2024-08-18,2024-08-24,258,20,<10,0
2024-08-25,2024-08-31,259,26,<10,0
2024-09-01,2024-09-07,275,18,<10,0
2024-09-08,2024-09-14,271,20,<10,0
2024-09-15,2024-09-21,253,22,<10,<10
2024-09-22,2024-09-28,287,24,<10,0
2024-09-29,2024-10-05,285,21,<10,0
2024-10-06,2024-10-12,269,25,<10,0
2024-10-13,2024-10-19,219,23,<10,<10
2024-10-20,2024-10-26,168,19,11,<10
2024-10-27,2024-11-02,134,17,<10,<10
2024-11-03,2024-11-09,105,13,<10,<10
2024-11-10,2024-11-16,96,16,12,<10
2024-11-17,2024-11-23,84,10,18,<10
2024-11-24,2024-11-30,84,10,27,<10
2024-12-01,2024-12-07,80,10,36,<10
2024-12-08,2024-12-14,89,<10,59,<10
2024-12-15,2024-12-21,86,<10,130,15
2024-12-22,2024-12-28,86,<10,197,31
2024-12-29,2025-01-04,120,12,266,47
2025-01-05,2025-01-11,118,10,237,29
2025-01-12,2025-01-18,91,10,227,34
2025-01-19,2025-01-25,76,11,266,34
2025-01-26,2025-02-01,87,<10,349,59
2025-02-02,2025-02-08,103,11,476,58
2025-02-09,2025-02-15,114,12,513,63
2025-02-16,2025-02-22,130,12,511,67
2025-02-23,2025-03-01,121,<10,421,61
2025-03-02,2025-03-08,83,<10,284,41
2025-03-09,2025-03-15,73,<10,203,28
2025-03-16,2025-03-22,79,<10,165,26
2025-03-23,2025-03-29,71,<10,129,21
