Day of End of Week Date	
4/20/2024	0.06
4/27/2024	0.22
5/4/2024	0.06
5/11/2024	0.11
5/18/2024	0.06
5/25/2024	0.22
6/1/2024	0.06
6/8/2024	0.39
6/15/2024	0.56
6/22/2024	0.73
6/29/2024	1.06
7/6/2024	1.45
7/13/2024	1.17
7/20/2024	1.34
7/27/2024	1.17
8/3/2024	2.73
8/10/2024	2.96
8/17/2024	3.91
8/24/2024	4.97
8/31/2024	6.53
9/7/2024	5.86
9/14/2024	7.03
9/21/2024	7.59
9/28/2024	5.52
10/5/2024	4.35
10/12/2024	3.12
10/19/2024	2.51
10/26/2024	1.17
11/2/2024	0.11
12/21/2024	1.73
12/28/2024	2.79
1/4/2025	2.68
1/11/2025	2.96
1/18/2025	1.23
1/25/2025	0.95
2/1/2025	0.95
2/8/2025	1.23
2/15/2025	2.68
2/22/2025	2.68
3/1/2025	2.18
3/8/2025	1.56
3/15/2025	1.56
3/22/2025	0.95
3/29/2025	0.84
