,vaccine,Geographic_Level,Geographic_Name,Demographic_Level,Demographic_Name,Indicator_label,Indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_95pct,Unweighted_Sample_Size,suppression_flag
0,COVID,State,Washington,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,12/13/2025 12:00:00 AM,,,21,1
1,COVID,State,Louisiana,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,12/13/2025 12:00:00 AM,7.3412,13.6771,49,0
2,COVID,State,Wyoming,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,12/13/2025 12:00:00 AM,86.14069999999998,8.9945,38,0
3,COVID,State,Illinois,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,12/13/2025 12:00:00 AM,11.5464,9.6326,107,0
4,COVID,State,Wyoming,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 2,12/13/2025 12:00:00 AM,3.4297,1.075,1885,0
5,COVID,State,Louisiana,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,12/13/2025 12:00:00 AM,31.9442,16.621,49,0
6,COVID,Substate,Illinois-City of Chicago,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,12/13/2025 12:00:00 AM,42.8103,24.4638,61,0
7,COVID,State,Illinois,Overall,6 months-17 years,Up-to-date,Yes,December Week 2,12/13/2025 12:00:00 AM,10.1479,1.5,4145,0
8,COVID,Substate,Illinois-City of Chicago,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,12/13/2025 12:00:00 AM,14.3466,13.54,61,0
9,COVID,State,Maine,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,12/13/2025 12:00:00 AM,67.2308,24.2449,38,0
10,COVID,Substate,Illinois-City of Chicago,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 2,12/13/2025 12:00:00 AM,13.4612,2.1784,2227,0
11,COVID,State,Indiana,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,12/13/2025 12:00:00 AM,,,22,1
12,COVID,Substate,Illinois-Rest of State,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,12/13/2025 12:00:00 AM,58.3139,18.7121,46,0
13,COVID,State,Maine,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,12/13/2025 12:00:00 AM,11.0843,15.2178,38,0
14,COVID,Substate,Illinois-Rest of State,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 2,12/13/2025 12:00:00 AM,8.2636,1.7581,1918,0
15,COVID,State,Indiana,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,12/13/2025 12:00:00 AM,,,22,1
16,COVID,Substate,Illinois-Rest of State,Overall,6 months-17 years,Up-to-date,Yes,December Week 2,12/13/2025 12:00:00 AM,8.2636,1.7581,1918,0
17,COVID,State,Maryland,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,12/13/2025 12:00:00 AM,,,28,1
18,COVID,Substate,New York-New York City,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 2,12/13/2025 12:00:00 AM,6.7783,2.0228,1280,0
19,COVID,State,Iowa,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,12/13/2025 12:00:00 AM,71.3416,19.6298,36,0
20,COVID,Substate,New York-Rest of State,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,12/13/2025 12:00:00 AM,,,28,1
21,COVID,State,Massachusetts,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,12/13/2025 12:00:00 AM,40.215,15.519,41,0
22,COVID,Substate,New York-Rest of State,Overall,6 months-17 years,Up-to-date,Yes,December Week 2,12/13/2025 12:00:00 AM,7.6341,2.0591,1302,0
23,COVID,State,Iowa,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,12/13/2025 12:00:00 AM,19.782,14.7749,36,0
24,COVID,Substate,Pennsylvania-Philadelphia County,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,12/13/2025 12:00:00 AM,44.0665,18.8748,72,0
25,COVID,State,Michigan,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,12/13/2025 12:00:00 AM,56.8355,20.2156,39,0
26,COVID,Substate,Pennsylvania-Philadelphia County,Overall,6 months-17 years,Up-to-date,Yes,December Week 2,12/13/2025 12:00:00 AM,10.6733,2.1695,1784,0
27,COVID,State,Kentucky,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,12/13/2025 12:00:00 AM,1.5067,2.1991,37,0
28,COVID,Substate,Pennsylvania-Rest of State,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 2,12/13/2025 12:00:00 AM,7.974,1.531,2116,0
29,COVID,State,Michigan,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,12/13/2025 12:00:00 AM,9.3283,11.3,39,0
30,COVID,Substate,Pennsylvania-Rest of State,Overall,6 months-17 years,Up-to-date,Yes,December Week 2,12/13/2025 12:00:00 AM,7.974,1.531,2116,0
31,COVID,State,Kentucky,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,12/13/2025 12:00:00 AM,32.9458,20.4431,37,0
32,COVID,Substate,Texas-Bexar County,Overall,6 months-17 years,Up-to-date,Yes,December Week 2,12/13/2025 12:00:00 AM,4.4144,1.429,1673,0
33,COVID,State,Michigan,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,12/13/2025 12:00:00 AM,25.0038,18.4249,39,0
34,COVID,State,Arizona,Overall,6 months-17 years,Up-to-date,Yes,February Week 4,02/22/2025 12:00:00 AM,7.1327,1.763,1385,0
35,COVID,Substate,Texas-City of Houston,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,12/13/2025 12:00:00 AM,12.304,14.6765,42,0
36,COVID,State,Louisiana,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 2,12/13/2025 12:00:00 AM,2.9769,1.0872,2289,0
37,COVID,Substate,Texas-City of Houston,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,12/13/2025 12:00:00 AM,48.4983,29.6846,42,0
38,COVID,State,Michigan,Overall,6 months-17 years,Up-to-date,Yes,December Week 2,12/13/2025 12:00:00 AM,8.8324,2.0202,1788,0
39,COVID,Substate,Texas-City of Houston,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 2,12/13/2025 12:00:00 AM,5.4642,1.3766,1893,0
40,COVID,State,Maine,Overall,6 months-17 years,Up-to-date,Yes,December Week 2,12/13/2025 12:00:00 AM,10.4971,1.9723,1616,0
41,COVID,Substate,Texas-City of Houston,Overall,6 months-17 years,Up-to-date,Yes,December Week 2,12/13/2025 12:00:00 AM,5.4642,1.3766,1893,0
42,COVID,State,Minnesota,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,12/13/2025 12:00:00 AM,44.7261,20.8346,34,0
43,COVID,Substate,Texas-Rest of State,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 2,12/13/2025 12:00:00 AM,4.4113,1.0665,2969,0
44,COVID,State,Maryland,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 2,12/13/2025 12:00:00 AM,,,2040,1
45,COVID,State,Minnesota,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 2,12/13/2025 12:00:00 AM,15.6727,2.4752,1713,0
46,COVID,State,Maryland,Overall,6 months-17 years,Up-to-date,Yes,December Week 2,12/13/2025 12:00:00 AM,13.8084,2.4767,2040,0
47,COVID,State,Minnesota,Overall,6 months-17 years,Up-to-date,Yes,December Week 2,12/13/2025 12:00:00 AM,15.6727,2.4752,1713,0
48,COVID,State,Massachusetts,Overall,6 months-17 years,Up-to-date,Yes,December Week 2,12/13/2025 12:00:00 AM,18.0057,2.405,1650,0
49,COVID,State,Mississippi,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 2,12/13/2025 12:00:00 AM,1.4356,0.7821,2037,0
50,COVID,State,Mississippi,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,12/13/2025 12:00:00 AM,38.7358,38.2663,46,0
51,COVID,State,Mississippi,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,12/13/2025 12:00:00 AM,13.6019,12.8971,46,0
52,COVID,State,Missouri,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,12/13/2025 12:00:00 AM,,,20,1
53,COVID,State,Mississippi,Overall,6 months-17 years,Up-to-date,Yes,December Week 2,12/13/2025 12:00:00 AM,1.4356,0.7821,2037,0
54,COVID,State,Missouri,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,12/13/2025 12:00:00 AM,,,20,1
55,COVID,State,Missouri,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,12/13/2025 12:00:00 AM,,,20,1
56,COVID,State,Montana,Overall,6 months-17 years,Up-to-date,Yes,December Week 2,12/13/2025 12:00:00 AM,5.7273,1.6232,1569,0
57,COVID,State,Montana,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,12/13/2025 12:00:00 AM,2.0606,2.9362,35,0
58,COVID,State,Nevada,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,12/13/2025 12:00:00 AM,,,26,1
59,COVID,State,Nevada,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 2,12/13/2025 12:00:00 AM,,,1427,1
60,COVID,State,Nevada,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,12/13/2025 12:00:00 AM,,,26,1
61,COVID,State,New Jersey,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,12/13/2025 12:00:00 AM,42.4386,13.774,78,0
62,COVID,State,Nevada,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,12/13/2025 12:00:00 AM,,,26,1
63,COVID,State,New Jersey,Overall,6 months-17 years,Up-to-date,Yes,December Week 2,12/13/2025 12:00:00 AM,6.3057,1.5242,1842,0
64,COVID,State,New Hampshire,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,12/13/2025 12:00:00 AM,43.8039,21.4301,33,0
